mnth_yr,state_code,monthly_hospitalization
2020-08,AK,127.0
2020-08,AL,3284.0
2020-08,AR,1748.0
2020-08,AZ,2891.0
2020-08,CA,16255.0
2020-08,CO,915.0
2020-08,CT,318.0
2020-08,DC,402.0
2020-08,DE,163.0
2020-08,FL,16788.0
2020-08,GA,7330.0
2020-08,GU,79.0
2020-08,HI,916.0
2020-08,IA,1327.0
2020-08,ID,561.0
2020-08,IL,3121.0
2020-08,IN,2082.0
2020-08,KS,829.0
2020-08,KY,6078.0
2020-08,LA,3984.0
2020-08,MA,585.0
2020-08,MD,1572.0
2020-08,ME,36.0
2020-08,MI,2477.0
2020-08,MN,912.0
2020-08,MO,2510.0
2020-08,MP,0.0
2020-08,MS,3013.0
2020-08,MT,418.0
2020-08,NC,5096.0
2020-08,ND,272.0
2020-08,NE,283.0
2020-08,NH,479.0
2020-08,NJ,650.0
2020-08,NM,412.0
2020-08,NV,1811.0
2020-08,NY,2525.0
2020-08,OH,2559.0
2020-08,OK,2228.0
2020-08,OR,379.0
2020-08,PA,2195.0
2020-08,PR,643.0
2020-08,RI,176.0
2020-08,Region 1,1618.0
2020-08,Region 10,1807.0
2020-08,Region 2,3846.0
2020-08,Region 3,6431.0
2020-08,Region 4,48545.0
2020-08,Region 5,13170.0
2020-08,Region 6,26891.0
2020-08,Region 7,4949.0
2020-08,Region 8,2723.0
2020-08,Region 9,21952.0
2020-08,SC,3145.0
2020-08,SD,388.0
2020-08,TN,3811.0
2020-08,TX,18519.0
2020-08,USA,131932.0
2020-08,UT,526.0
2020-08,VA,1689.0
2020-08,VI,28.0
2020-08,VT,24.0
2020-08,WA,740.0
2020-08,WI,2019.0
2020-08,WV,410.0
2020-08,WY,204.0
2020-09,AK,147.0
2020-09,AL,3232.0
2020-09,AR,1648.0
2020-09,AZ,1618.0
2020-09,CA,9405.0
2020-09,CO,676.0
2020-09,CT,337.0
2020-09,DC,319.0
2020-09,DE,213.0
2020-09,FL,9183.0
2020-09,GA,5852.0
2020-09,GU,131.0
2020-09,HI,1029.0
2020-09,IA,1484.0
2020-09,ID,477.0
2020-09,IL,3323.0
2020-09,IN,2525.0
2020-09,KS,1110.0
2020-09,KY,6386.0
2020-09,LA,2321.0
2020-09,MA,782.0
2020-09,MD,1347.0
2020-09,ME,33.0
2020-09,MI,1445.0
2020-09,MN,1294.0
2020-09,MO,3232.0
2020-09,MP,0.0
2020-09,MS,1937.0
2020-09,MT,743.0
2020-09,NC,2945.0
2020-09,ND,447.0
2020-09,NE,532.0
2020-09,NH,144.0
2020-09,NJ,797.0
2020-09,NM,330.0
2020-09,NV,1166.0
2020-09,NY,2644.0
2020-09,OH,2711.0
2020-09,OK,2821.0
2020-09,OR,334.0
2020-09,PA,1613.0
2020-09,PR,712.0
2020-09,RI,120.0
2020-09,Region 1,1428.0
2020-09,Region 10,1717.0
2020-09,Region 2,4157.0
2020-09,Region 3,5770.0
2020-09,Region 4,34602.0
2020-09,Region 5,13854.0
2020-09,Region 6,19732.0
2020-09,Region 7,6358.0
2020-09,Region 8,3590.0
2020-09,Region 9,13349.0
2020-09,SC,1966.0
2020-09,SD,836.0
2020-09,TN,3101.0
2020-09,TX,12612.0
2020-09,USA,104557.0
2020-09,UT,661.0
2020-09,VA,1811.0
2020-09,VI,4.0
2020-09,VT,12.0
2020-09,WA,759.0
2020-09,WI,2556.0
2020-09,WV,467.0
2020-09,WY,227.0
2020-10,AK,237.0
2020-10,AL,4020.0
2020-10,AR,2562.0
2020-10,AZ,2463.0
2020-10,CA,9226.0
2020-10,CO,2151.0
2020-10,CT,855.0
2020-10,DC,337.0
2020-10,DE,373.0
2020-10,FL,9991.0
2020-10,GA,8187.0
2020-10,GU,225.0
2020-10,HI,352.0
2020-10,IA,2456.0
2020-10,ID,923.0
2020-10,IL,7581.0
2020-10,IN,4364.0
2020-10,KS,2237.0
2020-10,KY,6468.0
2020-10,LA,2559.0
2020-10,MA,1330.0
2020-10,MD,1822.0
2020-10,ME,60.0
2020-10,MI,4010.0
2020-10,MN,2486.0
2020-10,MO,5221.0
2020-10,MP,0.0
2020-10,MS,2410.0
2020-10,MT,1723.0
2020-10,NC,4345.0
2020-10,ND,999.0
2020-10,NE,1413.0
2020-10,NH,97.0
2020-10,NJ,2388.0
2020-10,NM,1026.0
2020-10,NV,1399.0
2020-10,NY,4116.0
2020-10,OH,6027.0
2020-10,OK,4680.0
2020-10,OR,594.0
2020-10,PA,3672.0
2020-10,PR,1952.0
2020-10,RI,265.0
2020-10,Region 1,2621.0
2020-10,Region 10,2633.0
2020-10,Region 2,8456.0
2020-10,Region 3,9122.0
2020-10,Region 4,42436.0
2020-10,Region 5,32512.0
2020-10,Region 6,31168.0
2020-10,Region 7,11327.0
2020-10,Region 8,8281.0
2020-10,Region 9,13665.0
2020-10,SC,2194.0
2020-10,SD,1619.0
2020-10,TN,4821.0
2020-10,TX,20341.0
2020-10,USA,162221.0
2020-10,UT,1302.0
2020-10,VA,2199.0
2020-10,VI,0.0
2020-10,VT,14.0
2020-10,WA,879.0
2020-10,WI,8044.0
2020-10,WV,719.0
2020-10,WY,487.0
2020-11,AK,521.0
2020-11,AL,5622.0
2020-11,AR,3556.0
2020-11,AZ,6303.0
2020-11,CA,20011.0
2020-11,CO,6873.0
2020-11,CT,2750.0
2020-11,DC,503.0
2020-11,DE,700.0
2020-11,FL,14961.0
2020-11,GA,9797.0
2020-11,GU,136.0
2020-11,HI,204.0
2020-11,IA,5409.0
2020-11,ID,1629.0
2020-11,IL,16901.0
2020-11,IN,9466.0
2020-11,KS,4647.0
2020-11,KY,10273.0
2020-11,LA,3595.0
2020-11,MA,3147.0
2020-11,MD,4646.0
2020-11,ME,319.0
2020-11,MI,12305.0
2020-11,MN,6223.0
2020-11,MO,8975.0
2020-11,MP,0.0
2020-11,MS,3060.0
2020-11,MT,2339.0
2020-11,NC,5758.0
2020-11,ND,1603.0
2020-11,NE,3446.0
2020-11,NH,362.0
2020-11,NJ,8036.0
2020-11,NM,3140.0
2020-11,NV,3568.0
2020-11,NY,10019.0
2020-11,OH,15914.0
2020-11,OK,7962.0
2020-11,OR,1419.0
2020-11,PA,12542.0
2020-11,PR,4104.0
2020-11,RI,657.0
2020-11,Region 1,7318.0
2020-11,Region 10,5716.0
2020-11,Region 2,22162.0
2020-11,Region 3,23729.0
2020-11,Region 4,59108.0
2020-11,Region 5,73866.0
2020-11,Region 6,48730.0
2020-11,Region 7,22477.0
2020-11,Region 8,16143.0
2020-11,Region 9,30222.0
2020-11,SC,2421.0
2020-11,SD,2001.0
2020-11,TN,7216.0
2020-11,TX,30477.0
2020-11,USA,309471.0
2020-11,UT,2450.0
2020-11,VA,3768.0
2020-11,VI,3.0
2020-11,VT,83.0
2020-11,WA,2147.0
2020-11,WI,13057.0
2020-11,WV,1570.0
2020-11,WY,877.0
2020-12,AK,416.0
2020-12,AL,10558.0
2020-12,AR,4707.0
2020-12,AZ,14649.0
2020-12,CA,59793.0
2020-12,CO,6394.0
2020-12,CT,4369.0
2020-12,DC,903.0
2020-12,DE,1540.0
2020-12,FL,24903.0
2020-12,GA,16510.0
2020-12,GU,52.0
2020-12,HI,252.0
2020-12,IA,3125.0
2020-12,ID,1668.0
2020-12,IL,15509.0
2020-12,IN,11417.0
2020-12,KS,4829.0
2020-12,KY,13055.0
2020-12,LA,6081.0
2020-12,MA,7212.0
2020-12,MD,6918.0
2020-12,ME,524.0
2020-12,MI,11839.0
2020-12,MN,4657.0
2020-12,MO,8928.0
2020-12,MP,0.0
2020-12,MS,4750.0
2020-12,MT,1528.0
2020-12,NC,10430.0
2020-12,ND,880.0
2020-12,NE,2137.0
2020-12,NH,1174.0
2020-12,NJ,13118.0
2020-12,NM,3958.0
2020-12,NV,5182.0
2020-12,NY,24893.0
2020-12,OH,20861.0
2020-12,OK,10338.0
2020-12,OR,1981.0
2020-12,PA,21910.0
2020-12,PR,1228.0
2020-12,RI,1082.0
2020-12,Region 1,14508.0
2020-12,Region 10,7256.0
2020-12,Region 2,39249.0
2020-12,Region 3,40884.0
2020-12,Region 4,96909.0
2020-12,Region 5,73581.0
2020-12,Region 6,66290.0
2020-12,Region 7,19019.0
2020-12,Region 8,13406.0
2020-12,Region 9,79928.0
2020-12,SC,5372.0
2020-12,SD,1071.0
2020-12,TN,11331.0
2020-12,TX,41206.0
2020-12,USA,451030.0
2020-12,UT,2768.0
2020-12,VA,7038.0
2020-12,VI,10.0
2020-12,VT,147.0
2020-12,WA,3191.0
2020-12,WI,9298.0
2020-12,WV,2575.0
2020-12,WY,765.0
2021-01,AK,211.0
2021-01,AL,10561.0
2021-01,AR,4718.0
2021-01,AZ,16367.0
2021-01,CA,60435.0
2021-01,CO,3740.0
2021-01,CT,4243.0
2021-01,DC,1045.0
2021-01,DE,1483.0
2021-01,FL,32533.0
2021-01,GA,22112.0
2021-01,GU,18.0
2021-01,HI,296.0
2021-01,IA,2095.0
2021-01,ID,1046.0
2021-01,IL,10781.0
2021-01,IN,8679.0
2021-01,KS,3618.0
2021-01,KY,12648.0
2021-01,LA,6477.0
2021-01,MA,7552.0
2021-01,MD,6708.0
2021-01,ME,490.0
2021-01,MI,7001.0
2021-01,MN,2497.0
2021-01,MO,6735.0
2021-01,MP,26.0
2021-01,MS,3904.0
2021-01,MT,1095.0
2021-01,NC,12327.0
2021-01,ND,405.0
2021-01,NE,1426.0
2021-01,NH,911.0
2021-01,NJ,12066.0
2021-01,NM,3072.0
2021-01,NV,4295.0
2021-01,NY,29819.0
2021-01,OH,14970.0
2021-01,OK,9738.0
2021-01,OR,1540.0
2021-01,PA,15934.0
2021-01,PR,676.0
2021-01,RI,944.0
2021-01,Region 1,14417.0
2021-01,Region 10,5636.0
2021-01,Region 2,42568.0
2021-01,Region 3,36300.0
2021-01,Region 4,110460.0
2021-01,Region 5,50103.0
2021-01,Region 6,75204.0
2021-01,Region 7,13874.0
2021-01,Region 8,8704.0
2021-01,Region 9,81437.0
2021-01,SC,7798.0
2021-01,SD,539.0
2021-01,TN,8577.0
2021-01,TX,51199.0
2021-01,USA,438703.0
2021-01,UT,2487.0
2021-01,VA,8835.0
2021-01,VI,7.0
2021-01,VT,277.0
2021-01,WA,2839.0
2021-01,WI,6175.0
2021-01,WV,2295.0
2021-01,WY,438.0
2021-02,AK,122.0
2021-02,AL,4256.0
2021-02,AR,2154.0
2021-02,AZ,5985.0
2021-02,CA,22647.0
2021-02,CO,2132.0
2021-02,CT,2509.0
2021-02,DC,682.0
2021-02,DE,688.0
2021-02,FL,19595.0
2021-02,GA,10238.0
2021-02,GU,15.0
2021-02,HI,99.0
2021-02,IA,1129.0
2021-02,ID,560.0
2021-02,IL,5131.0
2021-02,IN,3295.0
2021-02,KS,1517.0
2021-02,KY,6998.0
2021-02,LA,2689.0
2021-02,MA,3526.0
2021-02,MD,3525.0
2021-02,ME,247.0
2021-02,MI,3114.0
2021-02,MN,1258.0
2021-02,MO,2854.0
2021-02,MP,0.0
2021-02,MS,1489.0
2021-02,MT,531.0
2021-02,NC,5499.0
2021-02,ND,247.0
2021-02,NE,588.0
2021-02,NH,379.0
2021-02,NJ,7265.0
2021-02,NM,1092.0
2021-02,NV,2051.0
2021-02,NY,18780.0
2021-02,OH,6635.0
2021-02,OK,4376.0
2021-02,OR,868.0
2021-02,PA,8023.0
2021-02,PR,440.0
2021-02,RI,454.0
2021-02,Region 1,7267.0
2021-02,Region 10,3078.0
2021-02,Region 2,26487.0
2021-02,Region 3,18958.0
2021-02,Region 4,55339.0
2021-02,Region 5,21996.0
2021-02,Region 6,34361.0
2021-02,Region 7,6088.0
2021-02,Region 8,4618.0
2021-02,Region 9,30797.0
2021-02,SC,3716.0
2021-02,SD,291.0
2021-02,TN,3548.0
2021-02,TX,24050.0
2021-02,USA,208989.0
2021-02,UT,1229.0
2021-02,VA,5020.0
2021-02,VI,2.0
2021-02,VT,152.0
2021-02,WA,1528.0
2021-02,WI,2563.0
2021-02,WV,1020.0
2021-02,WY,188.0
2021-03,AK,158.0
2021-03,AL,2155.0
2021-03,AR,846.0
2021-03,AZ,2499.0
2021-03,CA,10975.0
2021-03,CO,1843.0
2021-03,CT,2438.0
2021-03,DC,548.0
2021-03,DE,442.0
2021-03,FL,14992.0
2021-03,GA,6418.0
2021-03,GU,11.0
2021-03,HI,112.0
2021-03,IA,989.0
2021-03,ID,544.0
2021-03,IL,4620.0
2021-03,IN,2078.0
2021-03,KS,763.0
2021-03,KY,4172.0
2021-03,LA,1582.0
2021-03,MA,2722.0
2021-03,MD,3474.0
2021-03,ME,228.0
2021-03,MI,6625.0
2021-03,MN,1530.0
2021-03,MO,1832.0
2021-03,MP,0.0
2021-03,MS,853.0
2021-03,MT,404.0
2021-03,NC,3387.0
2021-03,ND,201.0
2021-03,NE,419.0
2021-03,NH,357.0
2021-03,NJ,8135.0
2021-03,NM,680.0
2021-03,NV,1184.0
2021-03,NY,16903.0
2021-03,OH,4950.0
2021-03,OK,1624.0
2021-03,OR,615.0
2021-03,PA,7400.0
2021-03,PR,414.0
2021-03,RI,342.0
2021-03,Region 1,6228.0
2021-03,Region 10,2570.0
2021-03,Region 2,25458.0
2021-03,Region 3,16184.0
2021-03,Region 4,36811.0
2021-03,Region 5,21494.0
2021-03,Region 6,19033.0
2021-03,Region 7,4003.0
2021-03,Region 8,3674.0
2021-03,Region 9,14781.0
2021-03,SC,2068.0
2021-03,SD,245.0
2021-03,TN,2766.0
2021-03,TX,14301.0
2021-03,USA,150236.0
2021-03,UT,882.0
2021-03,VA,3644.0
2021-03,VI,6.0
2021-03,VT,141.0
2021-03,WA,1253.0
2021-03,WI,1691.0
2021-03,WV,676.0
2021-03,WY,99.0
2021-04,AK,187.0
2021-04,AL,1684.0
2021-04,AR,744.0
2021-04,AZ,1988.0
2021-04,CA,7617.0
2021-04,CO,2725.0
2021-04,CT,2600.0
2021-04,DC,529.0
2021-04,DE,634.0
2021-04,FL,15502.0
2021-04,GA,5498.0
2021-04,GU,17.0
2021-04,HI,174.0
2021-04,IA,1056.0
2021-04,ID,491.0
2021-04,IL,7323.0
2021-04,IN,2912.0
2021-04,KS,726.0
2021-04,KY,3637.0
2021-04,LA,1368.0
2021-04,MA,2652.0
2021-04,MD,4719.0
2021-04,ME,361.0
2021-04,MI,15535.0
2021-04,MN,2861.0
2021-04,MO,1836.0
2021-04,MP,0.0
2021-04,MS,641.0
2021-04,MT,325.0
2021-04,NC,3753.0
2021-04,ND,336.0
2021-04,NE,517.0
2021-04,NH,470.0
2021-04,NJ,7596.0
2021-04,NM,550.0
2021-04,NV,1259.0
2021-04,NY,13244.0
2021-04,OH,6037.0
2021-04,OK,1138.0
2021-04,OR,967.0
2021-04,PA,10134.0
2021-04,PR,1123.0
2021-04,RI,351.0
2021-04,Region 1,6594.0
2021-04,Region 10,3546.0
2021-04,Region 2,21976.0
2021-04,Region 3,20244.0
2021-04,Region 4,35618.0
2021-04,Region 5,37019.0
2021-04,Region 6,15200.0
2021-04,Region 7,4135.0
2021-04,Region 8,4546.0
2021-04,Region 9,11055.0
2021-04,SC,1930.0
2021-04,SD,290.0
2021-04,TN,2973.0
2021-04,TX,11400.0
2021-04,USA,159933.0
2021-04,UT,697.0
2021-04,VA,3254.0
2021-04,VI,13.0
2021-04,VT,160.0
2021-04,WA,1901.0
2021-04,WI,2351.0
2021-04,WV,974.0
2021-04,WY,173.0
2021-05,AK,112.0
2021-05,AL,1799.0
2021-05,AR,875.0
2021-05,AZ,1953.0
2021-05,CA,5792.0
2021-05,CO,2929.0
2021-05,CT,1212.0
2021-05,DC,286.0
2021-05,DE,322.0
2021-05,FL,11654.0
2021-05,GA,4307.0
2021-05,GU,17.0
2021-05,HI,169.0
2021-05,IA,723.0
2021-05,ID,406.0
2021-05,IL,5057.0
2021-05,IN,2579.0
2021-05,KS,681.0
2021-05,KY,3411.0
2021-05,LA,1500.0
2021-05,MA,1355.0
2021-05,MD,2390.0
2021-05,ME,437.0
2021-05,MI,6363.0
2021-05,MN,1761.0
2021-05,MO,1680.0
2021-05,MP,0.0
2021-05,MS,800.0
2021-05,MT,496.0
2021-05,NC,2822.0
2021-05,ND,244.0
2021-05,NE,317.0
2021-05,NH,273.0
2021-05,NJ,2929.0
2021-05,NM,688.0
2021-05,NV,998.0
2021-05,NY,5916.0
2021-05,OH,4440.0
2021-05,OK,885.0
2021-05,OR,1106.0
2021-05,PA,5592.0
2021-05,PR,429.0
2021-05,RI,161.0
2021-05,Region 1,3516.0
2021-05,Region 10,3633.0
2021-05,Region 2,9277.0
2021-05,Region 3,11406.0
2021-05,Region 4,27851.0
2021-05,Region 5,22389.0
2021-05,Region 6,12509.0
2021-05,Region 7,3401.0
2021-05,Region 8,4831.0
2021-05,Region 9,8929.0
2021-05,SC,1039.0
2021-05,SD,166.0
2021-05,TN,2019.0
2021-05,TX,8561.0
2021-05,USA,107742.0
2021-05,UT,774.0
2021-05,VA,1899.0
2021-05,VI,3.0
2021-05,VT,78.0
2021-05,WA,2009.0
2021-05,WI,2189.0
2021-05,WV,917.0
2021-05,WY,222.0
2021-06,AK,65.0
2021-06,AL,906.0
2021-06,AR,1162.0
2021-06,AZ,1746.0
2021-06,CA,4428.0
2021-06,CO,1501.0
2021-06,CT,306.0
2021-06,DC,155.0
2021-06,DE,90.0
2021-06,FL,7713.0
2021-06,GA,2442.0
2021-06,GU,11.0
2021-06,HI,110.0
2021-06,IA,392.0
2021-06,ID,316.0
2021-06,IL,1840.0
2021-06,IN,1175.0
2021-06,KS,498.0
2021-06,KY,2696.0
2021-06,LA,1242.0
2021-06,MA,451.0
2021-06,MD,803.0
2021-06,ME,171.0
2021-06,MI,1452.0
2021-06,MN,545.0
2021-06,MO,2333.0
2021-06,MP,0.0
2021-06,MS,974.0
2021-06,MT,385.0
2021-06,NC,1584.0
2021-06,ND,94.0
2021-06,NE,165.0
2021-06,NH,78.0
2021-06,NJ,1093.0
2021-06,NM,399.0
2021-06,NV,1090.0
2021-06,NY,2220.0
2021-06,OH,2113.0
2021-06,OK,773.0
2021-06,OR,684.0
2021-06,PA,1822.0
2021-06,PR,79.0
2021-06,RI,52.0
2021-06,Region 1,1082.0
2021-06,Region 10,2356.0
2021-06,Region 2,3411.0
2021-06,Region 3,4111.0
2021-06,Region 4,17566.0
2021-06,Region 5,7859.0
2021-06,Region 6,9868.0
2021-06,Region 7,3388.0
2021-06,Region 8,3203.0
2021-06,Region 9,7385.0
2021-06,SC,441.0
2021-06,SD,100.0
2021-06,TN,810.0
2021-06,TX,6292.0
2021-06,USA,60229.0
2021-06,UT,881.0
2021-06,VA,846.0
2021-06,VI,19.0
2021-06,VT,24.0
2021-06,WA,1291.0
2021-06,WI,734.0
2021-06,WV,395.0
2021-06,WY,242.0
2021-07,AK,257.0
2021-07,AL,4034.0
2021-07,AR,3411.0
2021-07,AZ,2938.0
2021-07,CA,10624.0
2021-07,CO,1694.0
2021-07,CT,392.0
2021-07,DC,104.0
2021-07,DE,86.0
2021-07,FL,27044.0
2021-07,GA,5485.0
2021-07,GU,8.0
2021-07,HI,234.0
2021-07,IA,564.0
2021-07,ID,445.0
2021-07,IL,2555.0
2021-07,IN,1794.0
2021-07,KS,1335.0
2021-07,KY,3229.0
2021-07,LA,4453.0
2021-07,MA,591.0
2021-07,MD,750.0
2021-07,ME,179.0
2021-07,MI,1130.0
2021-07,MN,670.0
2021-07,MO,5422.0
2021-07,MP,0.0
2021-07,MS,1977.0
2021-07,MT,465.0
2021-07,NC,2729.0
2021-07,ND,72.0
2021-07,NE,402.0
2021-07,NH,103.0
2021-07,NJ,1411.0
2021-07,NM,531.0
2021-07,NV,3158.0
2021-07,NY,2403.0
2021-07,OH,2177.0
2021-07,OK,2786.0
2021-07,OR,689.0
2021-07,PA,1462.0
2021-07,PR,198.0
2021-07,RI,57.0
2021-07,Region 1,1343.0
2021-07,Region 10,2940.0
2021-07,Region 2,4040.0
2021-07,Region 3,3949.0
2021-07,Region 4,48226.0
2021-07,Region 5,9242.0
2021-07,Region 6,27931.0
2021-07,Region 7,7723.0
2021-07,Region 8,4090.0
2021-07,Region 9,16962.0
2021-07,SC,1521.0
2021-07,SD,152.0
2021-07,TN,2207.0
2021-07,TX,16750.0
2021-07,USA,126446.0
2021-07,UT,1358.0
2021-07,VA,1185.0
2021-07,VI,28.0
2021-07,VT,21.0
2021-07,WA,1549.0
2021-07,WI,916.0
2021-07,WV,362.0
2021-07,WY,349.0
2021-08,AK,526.0
2021-08,AL,10715.0
2021-08,AR,5227.0
2021-08,AS,0.0
2021-08,AZ,5918.0
2021-08,CA,27373.0
2021-08,CO,3337.0
2021-08,CT,1354.0
2021-08,DC,420.0
2021-08,DE,612.0
2021-08,FL,64147.0
2021-08,GA,20067.0
2021-08,GU,38.0
2021-08,HI,1406.0
2021-08,IA,1967.0
2021-08,ID,1450.0
2021-08,IL,7504.0
2021-08,IN,6625.0
2021-08,KS,2930.0
2021-08,KY,12002.0
2021-08,LA,10461.0
2021-08,MA,1926.0
2021-08,MD,2526.0
2021-08,ME,429.0
2021-08,MI,3684.0
2021-08,MN,1836.0
2021-08,MO,7422.0
2021-08,MP,0.0
2021-08,MS,5306.0
2021-08,MT,1298.0
2021-08,NC,9708.0
2021-08,ND,419.0
2021-08,NE,991.0
2021-08,NH,415.0
2021-08,NJ,3722.0
2021-08,NM,1553.0
2021-08,NV,4025.0
2021-08,NY,7720.0
2021-08,OH,7583.0
2021-08,OK,8435.0
2021-08,OR,2991.0
2021-08,PA,5027.0
2021-08,PR,843.0
2021-08,RI,326.0
2021-08,Region 1,4570.0
2021-08,Region 10,8989.0
2021-08,Region 2,12313.0
2021-08,Region 3,14717.0
2021-08,Region 4,138578.0
2021-08,Region 5,31540.0
2021-08,Region 6,74742.0
2021-08,Region 7,13310.0
2021-08,Region 8,8483.0
2021-08,Region 9,38760.0
2021-08,SC,7358.0
2021-08,SD,584.0
2021-08,TN,9275.0
2021-08,TX,49066.0
2021-08,USA,346002.0
2021-08,UT,2016.0
2021-08,VA,4350.0
2021-08,VI,28.0
2021-08,VT,120.0
2021-08,WA,4022.0
2021-08,WI,4308.0
2021-08,WV,1782.0
2021-08,WY,829.0
2021-09,AK,768.0
2021-09,AL,7413.0
2021-09,AR,3339.0
2021-09,AS,0.0
2021-09,AZ,6054.0
2021-09,CA,19207.0
2021-09,CO,4191.0
2021-09,CT,1164.0
2021-09,DC,464.0
2021-09,DE,814.0
2021-09,FL,31961.0
2021-09,GA,15926.0
2021-09,GU,939.0
2021-09,HI,959.0
2021-09,IA,2506.0
2021-09,ID,2470.0
2021-09,IL,7337.0
2021-09,IN,8099.0
2021-09,KS,2761.0
2021-09,KY,13127.0
2021-09,LA,4021.0
2021-09,MA,2173.0
2021-09,MD,2979.0
2021-09,ME,685.0
2021-09,MI,5573.0
2021-09,MN,2678.0
2021-09,MO,4848.0
2021-09,MP,4.0
2021-09,MS,2639.0
2021-09,MT,2529.0
2021-09,NC,10057.0
2021-09,ND,749.0
2021-09,NE,1441.0
2021-09,NH,543.0
2021-09,NJ,4134.0
2021-09,NM,1604.0
2021-09,NV,3087.0
2021-09,NY,8756.0
2021-09,OH,14625.0
2021-09,OK,7620.0
2021-09,OR,3105.0
2021-09,PA,8554.0
2021-09,PR,431.0
2021-09,RI,339.0
2021-09,Region 1,5160.0
2021-09,Region 10,10701.0
2021-09,Region 2,13341.0
2021-09,Region 3,22129.0
2021-09,Region 4,98949.0
2021-09,Region 5,44608.0
2021-09,Region 6,55215.0
2021-09,Region 7,11556.0
2021-09,Region 8,11559.0
2021-09,Region 9,30250.0
2021-09,SC,8079.0
2021-09,SD,830.0
2021-09,TN,9747.0
2021-09,TX,38631.0
2021-09,USA,303468.0
2021-09,UT,2365.0
2021-09,VA,6283.0
2021-09,VI,20.0
2021-09,VT,256.0
2021-09,WA,4358.0
2021-09,WI,6296.0
2021-09,WV,3035.0
2021-09,WY,895.0
2021-10,AK,760.0
2021-10,AL,2343.0
2021-10,AR,1584.0
2021-10,AS,0.0
2021-10,AZ,5615.0
2021-10,CA,12747.0
2021-10,CO,5452.0
2021-10,CT,938.0
2021-10,DC,267.0
2021-10,DE,705.0
2021-10,FL,10663.0
2021-10,GA,6321.0
2021-10,GU,920.0
2021-10,HI,312.0
2021-10,IA,2321.0
2021-10,ID,1883.0
2021-10,IL,4833.0
2021-10,IN,4949.0
2021-10,KS,1903.0
2021-10,KY,4623.0
2021-10,LA,1453.0
2021-10,MA,1862.0
2021-10,MD,2434.0
2021-10,ME,638.0
2021-10,MI,7982.0
2021-10,MN,3497.0
2021-10,MO,2886.0
2021-10,MP,0.0
2021-10,MS,954.0
2021-10,MT,3058.0
2021-10,NC,5336.0
2021-10,ND,1006.0
2021-10,NE,1446.0
2021-10,NH,673.0
2021-10,NJ,3115.0
2021-10,NM,1745.0
2021-10,NV,2290.0
2021-10,NY,8039.0
2021-10,OH,11856.0
2021-10,OK,3930.0
2021-10,OR,1758.0
2021-10,PA,10196.0
2021-10,PR,137.0
2021-10,RI,241.0
2021-10,Region 1,4590.0
2021-10,Region 10,7571.0
2021-10,Region 2,11306.0
2021-10,Region 3,20020.0
2021-10,Region 4,37050.0
2021-10,Region 5,38516.0
2021-10,Region 6,25346.0
2021-10,Region 7,8556.0
2021-10,Region 8,13766.0
2021-10,Region 9,21884.0
2021-10,SC,2910.0
2021-10,SD,839.0
2021-10,TN,3900.0
2021-10,TX,16634.0
2021-10,USA,188605.0
2021-10,UT,2365.0
2021-10,VA,4150.0
2021-10,VI,15.0
2021-10,VT,238.0
2021-10,WA,3170.0
2021-10,WI,5399.0
2021-10,WV,2268.0
2021-10,WY,1046.0
2021-11,AK,443.0
2021-11,AL,1200.0
2021-11,AR,1107.0
2021-11,AS,0.0
2021-11,AZ,7894.0
2021-11,CA,10996.0
2021-11,CO,6903.0
2021-11,CT,1129.0
2021-11,DC,187.0
2021-11,DE,603.0
2021-11,FL,5546.0
2021-11,GA,3611.0
2021-11,GU,542.0
2021-11,HI,168.0
